db_id,imdb_id,name,year,gross,budget,length,theater,critic_score,audience_score,meta_score,imdb_rating,sequel,total_cast_award_win,total_cast_award_nominate,genre_id,mpaa,genre_document,genre_drama,genre_comedy,genre_mystery,genre_news,genre_sports,genre_scifi,genre_romance,genre_family,genre_biography,genre_music,genre_adventure,genre_crime,genre_war,genre_musical,genre_fantasy,genre_thriller,genre_horror,genre_animation,genre_action,genre_history,genre_western,genre_adult,genre_filmnoir
2181039,120630.0,Chicken Run,2000,106793915,42000000.0,84.0,2953.0,0.81,0.6,88.0,7.1,0,6,19,04_10_23,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2183401,241303.0,Chocolat,2000,71309760,25000000.0,121.0,1928.0,,,64.0,7.3,0,8,25,03_09,PG-13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2185463,200530.0,Chuck & Buck,2000,1050600,250000.0,96.0,,,,76.0,6.6,0,0,1,03_04,R,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2187822,191037.0,Circus,2000,8406,,95.0,8.0,,0.64,,5.8,0,0,1,03_17_21,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2188996,150143.0,Claire Dolan,2000,9480,,95.0,,0.57,0.66,56.0,6.8,0,0,2,03,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2196968,144142.0,Committed,2000,40361,3000000.0,98.0,13.0,,,44.0,5.2,0,0,5,03_04,R,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2198650,154352.0,Condo Painting,2000,5373,,,,0.46,0.72,48.0,6.9,0,0,0,01,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2203461,159373.0,Cotton Mary,2000,299351,3500000.0,124.0,4.0,0.49,0.56,52.0,5.4,0,0,1,03,R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2205169,200550.0,Coyote Ugly,2000,60786269,45000000.0,100.0,2664.0,0.39,0.64,27.0,5.6,0,1,7,03_04_09_14,PG-13,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2207066,197384.0,Crime + Punishment in Suburbia,2000,26394,,100.0,,,,32.0,5.9,0,0,3,03_21,R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2217310,168629.0,Dancer in the Dark,2000,4184036,12800000.0,140.0,126.0,0.67,0.82,61.0,8.0,0,0,3,03_17_19,R,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2219746,235327.0,Dark Days,2000,426687,,94.0,6.0,0.79,0.8,75.0,7.8,0,0,0,01,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2242953,158583.0,Deterrence,2000,144583,800000.0,104.0,17.0,0.53,0.66,50.0,6.5,0,4,6,03_21,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2252191,259974.0,Digimon: The Movie,2000,9628751,5000000.0,88.0,,0.39,0.66,20.0,5.8,0,0,0,08_16_20_21_23_24,PG,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0
2253160,229340.0,Dinner Rush,2000,110000,,99.0,52.0,0.72,0.76,79.0,7.3,0,0,3,03_09_17,R,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2253281,130623.0,Dinosaur,2000,137748063,127500000.0,82.0,3319.0,,,56.0,6.4,0,8,22,08_10_16_21_23,PG,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2264712,284067.0,Down from the Mountain,2000,301388,,98.0,,0.75,0.72,75.0,7.4,0,14,38,01_14,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2264990,186975.0,Down to You,2000,20035310,9000000.0,91.0,2003.0,0.32,0.54,13.0,4.8,0,2,5,03_04_09,PG-13,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2265877,205271.0,Dr. T and the Women,2000,13113041,12000000.0,122.0,1489.0,0.57,0.46,64.0,4.6,0,8,36,03_04_09,R,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2265979,219653.0,Dracula 2000,2000,33000377,54000000.0,99.0,2204.0,0.36,0.56,26.0,4.9,0,0,0,21_22,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2269194,186045.0,Drowning Mona,2000,15427192,16000000.0,96.0,1981.0,0.44,0.54,25.0,5.6,0,9,27,04_05_17,PG-13,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2270439,242423.0,"Dude, Where's My Car?",2000,46729374,13000000.0,83.0,2100.0,0.36,0.56,30.0,5.5,0,0,0,04_05_08,PG-13,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2270791,134630.0,Duets,2000,4734235,15000000.0,112.0,583.0,,,40.0,6.0,0,7,11,03_04_14,R,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2271450,190374.0,Dungeons & Dragons,2000,15185241,45000000.0,107.0,,,,14.0,3.6,0,2,5,16_20_24,PG-13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2275491,253063.0,Eban and Charley,2000,26114,30000.0,86.0,1.0,0.41,0.56,30.0,6.0,0,0,0,03,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2294262,193135.0,Enemies of Laughter,2000,150000,2500000.0,90.0,1.0,0.54,0.56,47.0,6.0,0,1,15,04_09,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2297392,195685.0,Erin Brockovich,2000,125548685,52000000.0,131.0,3070.0,0.73,0.7,73.0,7.2,0,5,32,03_13,R,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2312828,258568.0,Fastpitch,2000,5847,,,,,0.9,67.0,7.6,0,0,0,01_07,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2319544,195714.0,Final Destination,2000,53302314,23000000.0,98.0,2587.0,0.47,0.68,36.0,6.8,0,0,0,22,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2320086,181536.0,Finding Forrester,2000,51768623,43000000.0,136.0,2002.0,0.65,0.7,62.0,7.3,0,10,26,03,PG-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2326878,252445.0,Followers,2000,4841,50000.0,87.0,,,0.8,16.0,6.8,0,0,0,03,R,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2334309,262424.0,Freestyle: The Art of Rhyme,2000,11255,,60.0,,0.69,0.84,63.0,7.7,0,0,0,01_14,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2334759,186151.0,Frequency,2000,44983704,31000000.0,118.0,2631.0,0.65,0.68,67.0,7.3,0,2,4,03_08_17_21,PG-13,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
